Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
75,12,2,91,5,Some Random Commen with Id 75
76,13,4,56,9,Some Random Commen with Id 76
77,13,4,62,9,Some Random Commen with Id 77
78,13,4,17,2,Some Random Commen with Id 78
79,13,4,185,1,Some Random Commen with Id 79
80,13,4,191,4,Some Random Commen with Id 80
81,13,4,60,2,Some Random Commen with Id 81
82,13,4,158,7,Some Random Commen with Id 82
83,14,2,40,4,Some Random Commen with Id 83
84,14,2,11,2,Some Random Commen with Id 84
85,14,2,123,2,Some Random Commen with Id 85
86,14,2,83,1,Some Random Commen with Id 86
87,14,2,83,1,Some Random Commen with Id 87
88,16,4,146,0,Some Random Commen with Id 88
89,16,4,139,0,Some Random Commen with Id 89
90,16,4,24,4,Some Random Commen with Id 90
91,16,4,182,0,Some Random Commen with Id 91
92,16,4,152,6,Some Random Commen with Id 92
93,17,5,21,8,Some Random Commen with Id 93
94,17,5,29,0,Some Random Commen with Id 94
95,17,5,18,2,Some Random Commen with Id 95
96,17,5,1,8,Some Random Commen with Id 96
97,18,4,129,2,Some Random Commen with Id 97
98,18,4,189,8,Some Random Commen with Id 98
99,18,4,7,8,Some Random Commen with Id 99
100,18,4,133,5,Some Random Commen with Id 100
101,18,4,154,9,Some Random Commen with Id 101
102,18,4,155,0,Some Random Commen with Id 102
103,18,4,163,6,Some Random Commen with Id 103
104,19,6,197,6,Some Random Commen with Id 104
105,19,6,159,0,Some Random Commen with Id 105
106,19,6,146,5,Some Random Commen with Id 106
107,19,6,158,7,Some Random Commen with Id 107
108,19,6,104,3,Some Random Commen with Id 108
109,19,6,171,8,Some Random Commen with Id 109
110,19,6,10,6,Some Random Commen with Id 110
111,19,6,62,6,Some Random Commen with Id 111
112,20,5,113,0,Some Random Commen with Id 112
113,20,5,165,6,Some Random Commen with Id 113
114,20,5,131,0,Some Random Commen with Id 114
115,20,5,87,6,Some Random Commen with Id 115
116,21,1,102,7,Some Random Commen with Id 116
117,21,1,86,9,Some Random Commen with Id 117
118,21,1,18,1,Some Random Commen with Id 118
119,21,1,176,6,Some Random Commen with Id 119
120,21,1,185,6,Some Random Commen with Id 120
121,21,1,90,6,Some Random Commen with Id 121
122,21,1,185,9,Some Random Commen with Id 122
123,21,1,2,2,Some Random Commen with Id 123
124,21,1,127,6,Some Random Commen with Id 124
125,22,6,21,3,Some Random Commen with Id 125
126,22,6,98,6,Some Random Commen with Id 126
127,22,6,71,4,Some Random Commen with Id 127
128,23,0,94,8,Some Random Commen with Id 128
129,24,3,110,3,Some Random Commen with Id 129
130,24,3,82,4,Some Random Commen with Id 130
131,24,3,34,3,Some Random Commen with Id 131
132,24,3,170,2,Some Random Commen with Id 132
133,24,3,127,9,Some Random Commen with Id 133
134,25,7,14,3,Some Random Commen with Id 134
135,25,7,57,3,Some Random Commen with Id 135
136,25,7,67,7,Some Random Commen with Id 136
137,25,7,62,3,Some Random Commen with Id 137
138,26,1,173,2,Some Random Commen with Id 138
139,26,1,50,4,Some Random Commen with Id 139
140,27,0,66,1,Some Random Commen with Id 140
141,27,0,22,7,Some Random Commen with Id 141
142,27,0,176,7,Some Random Commen with Id 142
143,27,0,80,6,Some Random Commen with Id 143
144,27,0,16,8,Some Random Commen with Id 144
145,27,0,23,6,Some Random Commen with Id 145
146,27,0,56,6,Some Random Commen with Id 146
147,28,2,90,7,Some Random Commen with Id 147
148,28,2,68,7,Some Random Commen with Id 148
149,28,2,12,9,Some Random Commen with Id 149
150,29,2,185,9,Some Random Commen with Id 150
151,29,2,53,2,Some Random Commen with Id 151
152,29,2,74,0,Some Random Commen with Id 152
153,29,2,106,3,Some Random Commen with Id 153
154,30,7,129,4,Some Random Commen with Id 154
155,30,7,47,8,Some Random Commen with Id 155
156,30,7,102,4,Some Random Commen with Id 156
157,30,7,152,5,Some Random Commen with Id 157
158,30,7,147,7,Some Random Commen with Id 158
159,30,7,96,4,Some Random Commen with Id 159
160,30,7,17,0,Some Random Commen with Id 160
161,31,4,184,9,Some Random Commen with Id 161
162,31,4,148,4,Some Random Commen with Id 162
163,31,4,82,9,Some Random Commen with Id 163
164,31,4,148,4,Some Random Commen with Id 164
165,31,4,70,9,Some Random Commen with Id 165
166,31,4,123,3,Some Random Commen with Id 166
167,31,4,177,7,Some Random Commen with Id 167
168,31,4,130,1,Some Random Commen with Id 168
169,31,4,191,6,Some Random Commen with Id 169
170,36,5,110,9,Some Random Commen with Id 170
171,36,5,88,0,Some Random Commen with Id 171
172,36,5,153,2,Some Random Commen with Id 172
173,36,5,120,7,Some Random Commen with Id 173
174,36,5,118,6,Some Random Commen with Id 174
175,36,5,112,3,Some Random Commen with Id 175
176,36,5,142,7,Some Random Commen with Id 176
177,36,5,152,9,Some Random Commen with Id 177
178,36,5,125,7,Some Random Commen with Id 178
179,37,0,107,8,Some Random Commen with Id 179
180,37,0,80,2,Some Random Commen with Id 180
181,37,0,102,1,Some Random Commen with Id 181
182,37,0,39,7,Some Random Commen with Id 182
183,37,0,107,9,Some Random Commen with Id 183
184,37,0,148,1,Some Random Commen with Id 184
185,38,9,66,4,Some Random Commen with Id 185
186,38,9,18,0,Some Random Commen with Id 186
187,38,9,179,2,Some Random Commen with Id 187
188,38,9,83,3,Some Random Commen with Id 188
189,38,9,191,1,Some Random Commen with Id 189
190,38,9,182,0,Some Random Commen with Id 190
191,39,9,180,6,Some Random Commen with Id 191
192,39,9,15,1,Some Random Commen with Id 192
193,39,9,130,0,Some Random Commen with Id 193
194,39,9,65,9,Some Random Commen with Id 194
